able@(adj.4)能;有能力的
above@(adj.5)上文的,前述的
adult@(adj.5)成年的;成熟的;色情的
afraid@(adj.6)害怕
all@(adj.3)所有的;全部
alone@(adj.5)單獨的;孤單的
angry@(adj.5)生氣的
another@(adj.7)另一個
any@(adj.3)任何的
back@(adj.4)後面的;拖欠的;過去的
bad@(adj.3)壞的
basic@(adj.5)基本的
beautiful@(adj.9)漂亮的
best@(adj.4)最好的;最熟練的;最適當的
better@(adj.6)較佳的;更好的;更適當的
big@(adj.3)大的
black@(adj.5)黑色的
blue@(adj.4)藍色的
born@(adj.4)出生的;誕生的
both@(adj.4)兩者
bottom@(adj.6)最低的;最後的,最下的
brave@(adj.5)勇敢的
bright@(adj.6)光亮的
brown@(adj.5)褐色的;棕色的
busy@(adj.4)忙碌的
careful@(adj.7)小心的
certain@(adj.7)肯定的
chief@(adj.5)為首的;主要的
clean@(adj.5)乾淨的
clear@(adj.5)清楚的;晴朗的
close@(adj.5)近的;密切的
cold@(adj.4)寒冷的
common@(adj.6)常見的
cool@(adj.4)涼快的;很棒的;酷
correct@(adj.7)正確的
cute@(adj.4)可愛的
dark@(adj.4)黑暗的
dead@(adj.4)死的
dear@(adj.4)親愛的
deep@(adj.4)深的
different@(adj.9)不同的
difficult@(adj.9)困難的
direct@(adj.6)直接的
dirty@(adj.5)骯髒的
down@(adj.4)情緒低落,消沈;(分期付款的)第一期的
downstairs@(adj.10)樓下的
dry@(adj.3)乾的
each@(adj.4)每個
early@(adj.5)早的;提早的
east@(adj.4)東方的
easy@(adj.4)容易的
eight@(adj.5)八的
eighteen@(adj.8)十八的
eighty@(adj.6)八十的
either@(adj.6)兩者之一
eleven@(adj.6)十一的
English@(adj.7)英格蘭的;英國的;英國人的;英語的
enough@(adj.6)足夠的
equal@(adj.5)相等的; 平等的
even@(adj.4)均勻的;偶數的;平手的
every@(adj.5)每一個的
false@(adj.5)假的
far@(adj.3)遠的
fast@(adj.4)快的
fat@(adj.3)胖的
few@(adj.3)少數的;一些
fifteen@(adj.7)十五的
fifty@(adj.5)五十的
final@(adj.5)最終的
fine@(adj.4)好的
first@(adj.5)第一的
five@(adj.4)五的
foreign@(adj.7)外國的,陌生的,外來的
forty@(adj.5)四十的
four@(adj.4)四的
fourteen@(adj.8)十四的
free@(adj.4)空閒的;自由的;免費的
fresh@(adj.5)新鮮的
front@(adj.5)前面的;正面的
full@(adj.4)飽的;滿的
funny@(adj.5)可笑的;滑稽的
general@(adj.7)普遍的
glad@(adj.4)高興的
gold@(adj.4)金製的
good@(adj.4)好的
grand@(adj.5)雄偉的;總的
gray@(adj.4)灰色的
great@(adj.5)很棒;大的
green@(adj.5)綠色的
grey@(adj.4)灰色的
half@(adj.4)一半的,二分之一的;不完整的
happy@(adj.5)快樂的
hard@(adj.4)硬的;難的
heavy@(adj.5)重的
high@(adj.4)高的
home@(adj.4)家庭的;國內的
hot@(adj.3)熱的
huge@(adj.4)巨大的
human@(adj.5)人類的
hundred@(adj.7)一百的
hungry@(adj.6)飢餓的
important@(adj.9)重要的
in@(adj.2)在裡面的
inside@(adj.6)裡面的,內側的;內幕的
iron@(adj.4)鐵的;剛強的;殘酷的
just@(adj.4)正直的;公平的;應得的;正確的
key@(adj.3)重要的,基本的,關鍵的
kind@(adj.4)仁慈的
large@(adj.5)大的
last@(adj.4)最後的
late@(adj.4)晚的;遲的
lazy@(adj.4)懶惰的
least@(adj.5)最小的;最少的;最不重要的
left@(adj.4)左邊的
less@(adj.4)較少的
level@(adj.5)水平的,平的;筆直的
light@(adj.5)輕的
likely@(adj.6)有可能的
little@(adj.6)很少的
live@(adj.4)活的,有生命的;燃著的;實況播送的
long@(adj.4)長的
loud@(adj.4)大聲的
low@(adj.3)低的;矮的
lucky@(adj.5)幸運的
mad@(adj.3)發火;發瘋;發狂的
many@(adj.4)很多的
mean@(adj.4)兇的;吝嗇的
middle@(adj.6)中間的
more@(adj.4)更多的
most@(adj.4)最多的;大部分的
much@(adj.4)很多的
near@(adj.4)近的
new@(adj.3)新的
next@(adj.4)下一個
nice@(adj.4)好的
nine@(adj.4)九的
nineteen@(adj.8)十九的
ninety@(adj.6)九十的
no@(adj.2)沒有;不
noisy@(adj.5)喧鬧的
north@(adj.5)北方的
O.K.@(adj.4)可以的;不錯的;很好的
off@(adj.3)離去的;偏離的;休假的;關著的
OK@(adj.2)好吧
okay@(adj.4)對;可以;不錯
old@(adj.3)年老的
one@(adj.3)一個的
open@(adj.4)打開的;空曠的;未定的;營業的;公開的
orange@(adj.6)橙色的
other@(adj.5)其他的
out@(adj.3)在外的
outside@(adj.7)外邊的,外部的
own@(adj.3)自己的
past@(adj.4)過去的
poor@(adj.4)貧窮的
possible@(adj.8)可能的
pretty@(adj.6)漂亮的
public@(adj.6)公開的;公立的
purple@(adj.6)紫色的
quick@(adj.5)快的
quiet@(adj.5)安靜的
ready@(adj.5)準備好的
real@(adj.4)真實的
red@(adj.3)紅色的
rich@(adj.4)富有的
right@(adj.5)右邊;對的
round@(adj.5)圓形的
sad@(adj.3)難過的
safe@(adj.4)安全的
salt@(adj.4)鹹水的;含鹽的;(故事,笑話等)猥褻的
same@(adj.4)相同的
second@(adj.6)第二的;次要的,副的,從屬的
selfish@(adj.7)自私的
seven@(adj.5)七的
seventeen@(adj.9)十七的
seventy@(adj.7)七十的
several@(adj.7)幾個的
sharp@(adj.5)尖銳的;敏銳的
short@(adj.5)矮的;短的
shy@(adj.3)害羞的
sick@(adj.4)生病的
silly@(adj.5)傻的;無聊的
silver@(adj.6)銀的;銀白的
simple@(adj.6)簡單的
six@(adj.3)六的
sixteen@(adj.7)十六的
sixty@(adj.5)六十的
slow@(adj.4)緩慢的
small@(adj.5)小的
smart@(adj.5)聰明的
soft@(adj.4)柔軟的
some@(adj.4)一些的
sorry@(adj.5)抱歉;遺憾的
sound@(adj.5)完好的;堅固的;合理的,明智的;殷實的
sour@(adj.4)酸的
south@(adj.5)南方的
special@(adj.7)特別的
still@(adj.5)靜止的
strange@(adj.7)奇怪的
strong@(adj.6)強壯的
stupid@(adj.6)笨的
such@(adj.4)如此的
super@(adj.5)超級的
sure@(adj.4)確定
sweet@(adj.5)甜的
tall@(adj.4)高的
ten@(adj.3)十的
that@(adj.4)那;那個
then@(adj.4)當時的
these@(adj.5)這些 (this 的複數)
third@(adj.5)第三
thirteen@(adj.8)十三的
thirty@(adj.6)三十的
this@(adj.4)這
those@(adj.5)那些的;那
thousand@(adj.8)千的
three@(adj.5)三的
tiny@(adj.4)微小的
top@(adj.3)最高的
total@(adj.5)總的
true@(adj.4)真實的;正確的
twelve@(adj.6)十二的
twenty@(adj.6)二十的
two@(adj.3)二的
up@(adj.2)向上的;上行的
upstairs@(adj.8)樓上的
useful@(adj.6)有用的
warm@(adj.4)溫暖的
weak@(adj.4)虛弱的
welcome@(adj.7)受歡迎的;令人愉快的;被允許的
well@(adj.4)健康的
west@(adj.4)西方的
what@(adj.4)什麼;多麼,何等
which@(adj.5)哪一個,哪一些;這個,這些
white@(adj.5)白色的
whole@(adj.5)完整的
wide@(adj.4)寬的,廣泛的
worse@(adj.5)更壞的,更差的
worst@(adj.5)最壞的;最差的
wrong@(adj.5)錯誤的
yellow@(adj.6)黃色的
young@(adj.5)年輕的
yucky@(adj.5)討人厭的;噁心的
yummy@(adj.5)好吃的
act@(v.3)扮演
add@(v.3)添加
address@(v.7)寫上收件人姓名地址;向...致詞
age@(v.3)使變老;使(酒之)味道變醇;使成熟
agree@(v.5)同意
allow@(v.5)允許
am@(v.2)是,在; be 動詞第一人稱,單數,現在式
answer@(v.6)回答
ape@(v.3)模仿
appear@(v.6)出現
are@(v.3)是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二次人單、複數, 現在式
ask@(v.3)問
back@(v.4)向後;追溯;回覆;贊助
ball@(v.4)使成球形; 呈球狀
balloon@(v.7)像氣球般鼓起(或膨脹);乘氣球上升;激增
bank@(v.4)存(款)於銀行;築堤防護;堆積
bar@(v.3)閂住;阻攔;禁止
base@(v.4)以...為基地
bat@(v.3)揮打;眨(眼)
bathe@(v.5)洗澡
be@(v.2)是;要;有;在
beach@(v.5)將(船等)拖上岸
beat@(v.4)擊敗;敲擊
become@(v.6)變成
begin@(v.5)開始
believe@(v.7)相信
belong@(v.6)屬於
best@(v.4)打敗;勝過
better@(v.6)改善;提高;超過;變得較好
bite@(v.4)咬
block@(v.5)阻塞
blow@(v.4)吹
book@(v.4)預訂;預雇;預約;登記
bottom@(v.6)基於,根據;到達底部;降至最低點
box@(v.3)把...裝箱(或盒等)
break@(v.5)斷裂;中斷;打破（記錄）
breakfast@(v.9)吃早餐; 為...供應早餐
bridge@(v.6)架橋於;把...連結(或彌合)起來
bring@(v.5)帶來
brown@(v.5)變成褐色(或棕色)
bug@(v.3)在...安裝竊聽器;煩擾;激怒
build@(v.5)建造;蓋
bus@(v.3)用公車運送
busy@(v.4)使忙於
butter@(v.6)塗奶油於;以花言巧語討好
buy@(v.3)買
cage@(v.4)把...關進籠子;把...囚禁起來
call@(v.4)喊;打電話
camp@(v.4)露營
can@(v.3)能,會;可能;可以;必須
cap@(v.3)給...戴帽;加蓋於
care@(v.4)關心;照顧
carry@(v.5)提;搬運
case@(v.4)把...裝入箱(或容器)中
catch@(v.5)接(球);捕獲
cause@(v.5)導致,使發生,引起
center@(v.6)集中;居中
chair@(v.5)主持(會議);任(會議的)主席
chance@(v.6)冒...的險;賭(錢); 碰巧
chart@(v.5)繪製...的圖表;詳細計劃
chase@(v.5)追
check@(v.5)檢查
class@(v.5)把...分類;把...分等級
clean@(v.5)打掃
clear@(v.5)使乾淨;收拾;交換票據
climb@(v.5)爬;攀登
close@(v.5)關上
cloud@(v.5)陰雲密佈;變暗;變模糊;變混濁
coat@(v.4)塗在...上;給...穿上外套
color@(v.5)著色;渲染;文飾;歪曲;影響
come@(v.4)到來
continue@(v.8)繼續
cook@(v.4)煮
cool@(v.4)使涼快;使冷卻
correct@(v.7)改正;糾正
cost@(v.4)花費
count@(v.5)計算;數
course@(v.6)(用獵犬)追獵;追逐
cover@(v.5)蓋住
cry@(v.3)哭叫
cup@(v.3)使(手掌)成杯狀;把...放入杯內
cut@(v.3)切割;剪
dance@(v.5)跳舞
darken@(v.6)使變暗;變黑
date@(v.4)約會
deal@(v.4)處理;對付;對待[(+with)]
decide@(v.6)決定
die@(v.3)死
dig@(v.3)挖掘
direct@(v.6)指引
dirty@(v.5)弄髒; 變髒
discover@(v.8)發現
dish@(v.4)盛...於盤中
do@(v.2)做
down@(v.4)擊倒
draw@(v.4)畫;繪製;描寫
dream@(v.5)做(夢);想像
drink@(v.5)喝
drive@(v.5)開車
dry@(v.3)曬乾;風乾
duck@(v.4)躲避;迴避
ease@(v.4)減輕
eat@(v.3)吃
edge@(v.4)使鋒利;使漸進
end@(v.3)結束
enter@(v.5)輸入;進入
equal@(v.5)等於
even@(v.4)使平坦;弄平;使相等
examine@(v.7)檢查;測驗
except@(v.6)把...除外;反對
eye@(v.3)看;注視;審視
face@(v.4)面向;正對;正視;朝;向
fall@(v.4)掉下
fan@(v.3)扇;煽動;激起
farm@(v.4)耕作;養殖;經營農場;從事畜牧業
father@(v.6)做...的父親; 創始;創立
fear@(v.4)畏懼
feed@(v.4)吃;餵養
feel@(v.4)感覺
fight@(v.5)打架;作戰
fill@(v.4)充滿;填充
find@(v.4)找到
fine@(v.4)使純;澄清;使精細
finger@(v.6)撥弄;指出;告密;告發
finish@(v.6)完成
fire@(v.4)解雇,開除;點燃; 開火;射擊
fish@(v.4)釣魚
floor@(v.5)在...鋪設地板;使大為震驚
flower@(v.6)開花;發育,成熟;繁榮
fly@(v.3)飛
fog@(v.3)以霧籠罩;使困惑;使模糊
follow@(v.6)遵循;跟隨
foot@(v.4)支付(帳單或費用);合計為,總計
force@(v.5)強迫
forget@(v.6)忘記
fork@(v.4)分歧,分叉
free@(v.4)使自由;解放;使解脫
front@(v.5)向前;在前面;面對
fruit@(v.5)結果實; 使結果實
garden@(v.6)從事園藝,在園中種植;
gas@(v.3)放出氣體;加油;空談;吹牛
get@(v.3)得到;拿到
give@(v.4)給
go@(v.2)去;走
gray@(v.4)使成灰色(或灰白)
green@(v.5)使成為綠色
grey@(v.4)使成灰色
ground@(v.6)使擱淺;使停飛;依靠,根據,基於
group@(v.5)把...分組(或歸類)
grow@(v.4)種植;成長
guess@(v.5)猜
guest@(v.5)款待,招待
guide@(v.5)引導
gun@(v.3)用槍射擊
hand@(v.4)面交,給,傳遞
happen@(v.6)發生
hate@(v.4)憎恨
have@(v.4)有
head@(v.4)率領;出發,駛往
hear@(v.4)聽見
heat@(v.4)把...加熱;使暖;使激動;刺激
help@(v.4)幫忙
hit@(v.3)打;擊
hold@(v.4)拿著
hole@(v.4)鑿洞於,穿孔於;進入洞中
home@(v.4)回家;為...提供住處
hope@(v.4)希望
house@(v.5)給...房子住
hurt@(v.4)傷害;使疼痛
inch@(v.4)使緩慢地移動
interest@(v.8)使發生興趣
